date,open,high,low,close,volume
2026-01-27,262.05983677827714,263.4272416545662,258.7611340805148,261.4036891594796,2894002
2026-01-28,258.19228873195374,260.3212178023695,256.26260736952156,257.7171687453412,3089278
2026-01-29,257.8950323613844,261.46843615734394,253.17191634120226,257.17505220735666,3325471
2026-01-30,263.14751964301263,265.682085524268,261.9125445965072,263.106375580342,3336861
2026-02-02,264.29492128236444,266.3200408960823,259.33247291780737,264.05160352046204,3949984
2026-02-03,266.8516450684781,272.2591629940183,265.7754326104151,267.544740280131,3312170
2026-02-04,265.03539736949847,269.582386971238,261.3555536168387,266.022021685293,3666610
2026-02-05,267.2057821257357,270.978808718262,262.4255261666491,268.9338567619308,4098144
2026-02-06,265.77816426606773,270.1365145621668,262.76272989971835,266.1651365254342,3903615
2026-02-09,259.18655106370875,263.53645106470094,258.02012945511393,260.40693088423944,4018741
2026-02-10,257.93327696663636,261.73867364499296,254.0479349292261,257.63761067666115,4794532
2026-02-11,258.9444793179197,263.82011336234314,255.7786783448092,259.56919361669765,3698052
2026-02-12,263.11833679031236,267.32855141051846,258.49311712018516,263.04889580268593,3460412
2026-02-13,273.2656778340022,276.43329425120646,270.23928806992865,272.3044075402502,3775357
2026-02-16,280.44351871699183,283.7527648061108,277.3086735180128,279.3909995904793,3901444
2026-02-17,271.9443014023472,274.62216028339367,269.52578415620394,272.32052958809703,2275501
2026-02-18,272.22068188897185,274.9814429908689,269.5923634698855,272.5482681017047,2968971
2026-02-19,277.20873100858984,279.78728421433937,272.0614241435979,276.63655832811804,3436887
2026-02-20,280.83715327478376,283.4186611985888,277.26903079793607,281.9888002873794,3432312
2026-02-23,283.86018270306306,289.49886203432357,280.370962556997,284.84822045778645,3669553
2026-02-24,274.99414923831665,278.1726133259167,272.60591777731383,273.4724239436739,3155262
2026-02-25,268.47280580083805,271.6424942053867,267.2839232187445,268.85826757859263,3251860
2026-02-26,260.1947426180955,264.12453911118735,259.29710205198853,260.58579796494075,3186834
2026-02-27,257.295436844367,258.6818331716225,253.77341999492867,258.1293504159588,3100935
2026-03-02,255.6519451711651,258.44930727266274,254.17861801319904,255.80743220751768,3114549
2026-03-03,253.844364353711,257.6815804984218,250.75252511713504,253.9198277721582,2567436
2026-03-04,263.1928798418762,263.7905846617275,260.56488334079586,261.68469596715613,2710599
2026-03-05,262.1890827389613,266.14521615578616,259.201629737348,263.2967583735147,2476858
2026-03-06,263.46722496744945,264.0446661490122,260.49729680597784,263.2553197243984,2763892
2026-03-09,259.17256489664425,262.61995286351646,256.2604956757099,259.56426686294594,2575853
2026-03-10,255.0431017219693,258.19716907155487,252.25650704896674,255.3716288905988,2738284
2026-03-11,258.735444008536,263.27664502067466,254.12452496659847,258.11459504611076,2673329
2026-03-12,254.50002296841186,258.8731660281583,253.65620294752742,254.8517654550815,2413106
2026-03-13,255.43639860137338,259.15216963646157,253.46367219919205,255.2692767253941,2486297
2026-03-16,258.22525820248114,259.1449502744852,256.1924126042356,257.5383894989852,3388485
2026-03-17,258.30922979031834,259.9234312380173,256.69407723949234,257.995297383648,2620935
2026-03-18,257.2658030829136,257.99512014135877,255.83606647740808,256.4218051615873,2765665
2026-03-19,249.25009732073678,251.80323226025178,246.49508407689873,249.4556671880794,3260892
2026-03-20,250.50605921974264,254.92619124354886,247.2119878051585,251.19279793612557,2938093
2026-03-23,257.85406535408055,261.4846022485707,256.3591655611042,257.35698511074554,3214271
2026-03-24,251.52160403486153,254.66355492321748,250.87321910190863,251.51007897771183,3540018
2026-03-25,244.97539886711536,249.31286850624193,241.73847670151693,245.4161123973471,3157533
2026-03-26,243.14750881464357,245.84092686881783,239.3923246862616,243.16821824846784,3306355
2026-03-27,232.46664593829425,233.83734925719284,230.85569437532803,232.50955516641375,3667127
2026-03-30,231.01354379899973,234.86150789666863,225.63067539201361,229.73066174519215,3307950
2026-03-31,229.2793703104496,231.70494162620508,227.22922012545158,230.24475466439145,3560142
2026-04-01,233.1955122418998,234.9373257751236,231.7641390035384,232.9599196047226,3829622
2026-04-02,233.74743851215388,236.5032685057705,229.70488682903076,233.87891417701456,3353768
2026-04-03,236.99998577387814,241.03401170417675,235.63393547326578,237.04306714405774,3855639
2026-04-06,230.12642427218162,231.68735457297473,226.03460341203592,229.90393882737757,3676729
2026-04-07,230.8217718202581,232.37795980362367,226.9829806944202,229.36014871240144,4263478
2026-04-08,232.07256195343265,233.37819606854848,228.006521755776,232.10974143368952,3781754
2026-04-09,234.65571791020193,239.12504894838932,232.490893717606,235.65684490967757,3546791
2026-04-10,232.09168803229684,234.21344939453516,226.64394612745957,230.73808703467006,3607993
2026-04-13,233.15278475053833,236.80238822019598,230.70496022814342,233.09879270749025,3778721
2026-04-14,234.24918531388795,236.52163038710833,233.5096504929989,234.5451410855866,3618938
2026-04-15,238.64911981210543,240.72219355838934,237.7737977667247,238.26258084624706,3500676
2026-04-16,238.4567233211263,242.81970378373774,236.71102549562866,240.15379433679342,3480672
2026-04-17,240.45974327695026,242.6111120247387,236.1310306104221,239.609000578533,3257432
2026-04-20,241.85959320591724,243.1975908091582,238.47835500220822,241.21733919817387,3123441
2026-04-21,244.5088875915442,247.90398008775597,243.95212449511428,245.69841785489837,3031146
2026-04-22,252.79755307734422,254.60789131988457,249.9285260640852,251.83361902207884,3153736
2026-04-23,251.0272377715461,253.1540151583211,249.4455702800797,250.59395577079644,2616577
2026-04-24,251.44026757959705,256.1157749983674,250.6323177772825,252.76623973213898,2241578
2026-04-27,245.0525766095303,246.85525362765267,243.1831862741405,244.29012001897766,2541361
2026-04-28,236.9181454027604,240.20164455928088,235.6136086331318,237.69549727880238,3263476
2026-04-29,235.00936287183606,236.9709129788216,233.3769931794156,236.03573687482145,2726500
2026-04-30,234.31883053261348,237.85073336063348,232.63503254460238,234.1489026509845,2926541
2026-05-01,237.0509517725401,239.01786559146944,231.45217511921845,235.47384625891638,2810323
2026-05-04,235.48871662490143,236.80310042259893,234.17684395774677,235.59680964552248,2945531
2026-05-05,237.3695651162421,240.43550540738937,233.03061776802926,236.77968770924642,3004595
2026-05-06,228.39711529221785,232.33888146677242,226.62564009485166,228.92942938213596,2627975
2026-05-07,228.1155423840464,230.33257964104965,225.95454566326669,228.2149523558332,2570178
2026-05-08,232.04783796289146,235.57868235407847,228.4695966731453,231.53716364440055,2498878
2026-05-11,233.23272329053924,235.24088142574666,232.547781199193,233.16454987980367,3026204
2026-05-12,228.0389505133193,231.18914520796977,225.8166683861988,228.0270382139806,3332178
2026-05-13,227.35634869748645,228.37230805545016,223.763242484106,226.81245983144382,2673215
2026-05-14,227.123705447357,228.9184070261675,223.70255666890577,226.30856229874894,3353932
2026-05-15,228.21019771505976,228.69031313101547,225.55466954780246,227.82675668686971,3278317
2026-05-18,223.29298476795097,225.798745017242,220.30837004821555,222.4790470968588,3434110
